results;Score;Label
follo;0;neutral
home design love darkjokes;0,110595703;positive
masturbation mending corruption;0,061197917;positive
honey angry come on christmas funny istighfar fear continue darkjokes;-0,050347222;negative
discuss politics grade command epic discuss darkjokes class with senior lecturer;0,030322266;positive
darkjokes;0;neutral
dirs are patient;0,0625;positive
kids better watch out santa likes witnesses;0,147135417;positive
think god one true god mean universe start with big explosion;0,031060113;positive
spit blind children tell them its raining;-0,021728516;negative
this paralyzed kid school funny should up comedy;-0,0484375;negative
saw website orphans unfortunately doesnt have home page;-0,07421875;negative
all zodiac signs have great hair apart cancer;0,029134115;positive
whats similar between pregnant year old fetus inside her both thinking shit mom;0,06008572;positive
wwide home;0;neutral
malkoolu trsro ggorqq kingloreen server;0;neutral
prefer open minded know her chara well enthusiast have sense darkjokes put;0,06717006;positive
turuum blonde watch hour weik opoo check the fast taste ken fast die of charity;0,064902631;positive
emang darkjokes mesk situ yeah;0;neutral
there is no problem limit receive;0,135345459;positive
harshwords darkjokes genuine ngakak yaallah hours;-0,001833333;negative
school alumni i live and continue to wear frills darkjokes pls dont need;-0,015136719;negative
natural darkjokes pretentious;-0,007161458;negative
drink coffee wear coffee spoons;-0,025976563;negative
farizali dongper damn darkjokes;0;neutral
guess what kind of happy fruit is happy;0,259375;positive
band grave actively gig bodies need to be bored bosen foos up;0,031684028;positive
clear original free standard free darkjokes;0,041348139;positive
the sun rises where the east deserves east black;0,019925435;positive
darkjokes nahan ketawa;0;neutral
when quiet kid wake up nap bc made too much noisy flaming some niggas;-0,009765625;negative
buraya bakarlar trsro ggorqq kingloreen server;0;neutral
whats difference between apple orphan apples gets picked;-0,052250704;negative
maximum okay business but just consider the darkjokes;0,056933594;positive
funny twitter jokes really funny;0,2171875;positive
were also thinking these when toured house;0,007263184;positive
im still not over them never;0,049479167;positive
can be darkjokes;0;neutral
fool wearing political party clothes gapapa;0,036523438;positive
apple apples appeal;0,0234375;positive
tiktok took down im post;0,007814407;positive
i like the darkjokes of gejokes least cave according to the level of breathing;-0,002301897;negative
was playing chess with friend said lets make this interesting stopped chess stopped;0,034500972;positive
boss told have day went home;0,008496095;positive
andi teacher patuk eat andi ayam patuk bu teacher andi buntung;0,007102273;positive
dark jokes kids with cancer never getting old;-0,029955591;negative
like darkjokes ngaoa;0;neutral
trsro ggorqq kingloreen server;0;neutral
yall got any funny jokes want read part live stream later leave them this pos;0,057782729;positive
friend hopefully heaven mother has no legs;0,0625;positive
youre darkjokes hereyna darkjokes pis;0;neutral
komenlurr permissions the tonight show package;0,0140625;positive
dark jokes blind afraid to be seen blind because of tangent;-0,064289408;negative
dark kakean see darkjokes;-0,013366699;negative
darkjokes deleted;-0,03125;negative
darkjokes base;-0,108683594;negative
abis read darkjokes atheis gabisa can mate mate tang lord;-0,003646851;negative
the grave digger hopes to sell eat hopefully the police hope for kri;0,039713542;positive
hyung hyung darkjokes;0;neutral
darkjokes sii.;0;neutral
though compilation of darkjokes ketekkiman fear of ninuninu;-0,10625;negative
fionyjkt dark darkjokes;-0,123697917;negative
confused meme darkjokes okayyy makas audrey;-0,0546875;negative
bosen love darkjokes;0,145833333;positive
the story of kawas prophet adam jigana mung abi teu pasigfar;-0,000651042;negative
yok kluarin darkjokes sing lagukeluarga panti putu;0,002232143;positive
darkjokes darkjokes porn;0;neutral
funny name bengk hyung;0,030273438;positive
handsome treasure;0,234375;positive
ovo jokes cute darkjokes okay ill hit ur dm;-0,012217204;negative
darkjokes sarcasm.;0;neutral
apas darkjokes.;0;neutral
different darkjokes jokes really;0,298828125;positive
think darkjokes pliss get out its too darkkk;-0,003125;negative
darkjokes restless;-0,265625;negative
stress anjir darkjokes it is worthy;0,181640625;positive
youre gay transgender queer etc ur family doesnt accept now ur family because wont;0,012029474;positive
fess late night party come laugh with drop darkjokes good version;0,064531439;positive
coma old bastard sleeping race;-0,071875;negative
help darkjokes restless bund;-0,078125;negative
normal ngevape trick bullet violent cleft love;-0,005580357;negative
nature deaf grave robbuka hahhh why;0,05;positive
dibababan fb twitter twiter jokes jokes;0,143229167;positive
have joke about food kids africa wouldnt get;0,0703125;positive
darkjokes viral regional child member open organization;-0,026698743;negative
up lekne darkjokes;0;neutral
teach darkjokes;0,125;positive
the shadow of the angel izrail gambut lives;-0,00859375;negative
lord darkjokes;0;neutral
glowing minute stealth bath pig;0,00234375;positive
dark jokes cok muslim;0,094055176;positive
moga mother mbak ilfeel boyfriend seram to work whatsapp upload dark jokes;0,006747212;positive
twitter isnt twitter without selebtwit doctor of problems of libtard moralis mr. rugong dark jokes;0,00324707;positive
mardial is bad its not a disgrace of your ethics a bad brother funny trigger;-0,094242096;negative
good night doi hair my hair is long when i play a funny cellphone you dont want me to make it ajajajaj;0,019368562;positive
jokes ku mamah dark;0,014648438;positive
good night doi hair my hair is long when i play a funny cellphone dont do it cave;0,025195399;positive
dark jokes;0,188110352;positive
dark jokes yesterday;0,01953125;positive
dark characteristics of gondrong abang jokes;0,093994141;positive
really dark jokes;0,281656901;positive
love dark jokes really says you dont have any conscience;0,140345982;positive
dark jokes version of the maya calendar;0,075244141;positive
dark jokes fathers version;0,094055176;positive
aware of the tiktok toxic child severely ngatain physically a little to be a content of jokes;0,0546875;positive
juang juang social application would butini jek lay lah soy of dark jox jokes;0,033467611;positive
conscious tiktok toxic children severely ngatain physically little into content;-0,067925347;negative
behind my head behind dark jokes throwing clay pairs of roads;0,063186526;positive
the dark jokes is america;0,01953125;positive
why call dark jokes popular rich gada fair limit jokes;0,122996012;positive
make dark humour jokes had gari ikatae kwenda;0,055146354;positive
yesterdays holiday already said the division had the minimous proces;0,018415179;positive
syp taught papa dark jokes yawlaaa;0,051432292;positive
like dark jokes;0,188110352;positive
woor woor dark jokes see funny;0,028606099;positive
dark jokes true boy;0,164276123;positive
in dark jokes;0,188110352;positive
busy taking care of bully dark jokes intent;0,100621905;positive
satire dark jokes stain ethical moslem funny wagu wagu;0,041232639;positive
dark jokes cok dingan agrees write thank you write up;0,066314697;positive
safe cell no scene just afraid of watching trauma;-0,070117188;negative
just a dirty thinking is really a dark jokes maapin;-0,004770915;negative
funny dark jokes;0,05078125;positive
tell dark jokes sarang orphanage;0,01171875;positive
like ngernti different satire sarcasion dark jokes search safe;0,052246094;positive
broke girls sensitive world dirty dark jokes defined santuy;-0,036161747;negative
indonesia dark jokes;0,01953125;positive
dark jokes religion;0,125406901;positive
kid fesbuk jbjb group dark jokes;0,011067708;positive
little brought dark power what circel sirkel challenge petenteng guyon oran;-0,027026367;negative
kaijose valid debate fill dark jokes;0,014973958;positive
dark jokes strongly read;0,117523193;positive
dark jokes are really funny;0,234680176;positive
join family guy series full cartoon dark jokes sometimes super tense this how roast celebrit;0,029747596;positive
dark jokes offensive twat;-0,014241699;negative
i strange my friend read dark jokes group chat fishing rods angry i read;0,035644531;positive
